profile,adx,n,median_pf_delta,mean_pf_delta,improved_pf,median_pnl_delta,mean_pnl_delta,improved_pnl,median_dd_delta,mean_gap_delta,usable,median_trades_ratio
runner_rsi90_10,40.0,15,0.014338725356045634,-0.04494925253134669,9,14149.577231214824,11096.194264890504,13,6.076703077505329,0.0898066928206641,3,0.9787234042553191
runner_rsi85_15,40.0,15,-0.07581460410638274,-0.16067923744182366,5,8082.134480734151,105.7759104524385,9,27.330100558909074,0.061023220426687834,2,1.026143790849673
runner_rsi85_15,45.0,15,-0.08149859430933559,-0.19498649047936153,4,7190.558804382772,-499.8208589361355,9,22.220755249982247,0.042540008549589815,2,1.0130718954248366
runner_rsi90_10_plus_ema100_200,45.0,15,0.0024863914547641475,-0.08996318712281598,8,9260.712099786302,5631.860918692449,12,18.327117476078755,0.4653271325852141,0,0.9943502824858758
runner_rsi90_10,45.0,15,-0.002683987745657035,-0.01277014470030339,7,15340.195161812906,14119.683423235276,12,14.473524405690362,0.25012801504038384,0,0.9928057553956835
runner_rsi85_15_plus_ema100_200,45.0,15,-0.08629715517995984,-0.2218957824314882,2,5027.272321812921,-3938.0160451646834,9,19.2626155236444,0.05825965398652576,0,1.0130718954248366
runner_rsi90_10_plus_ema100_200,40.0,15,-0.09000183006004114,-0.22715583123683444,4,4299.496068088811,-6381.05688952852,9,33.88784707609543,0.20454504722901654,0,0.9934640522875817
runner_rsi85_15_plus_ema100_200,40.0,15,-0.10937658848079579,-0.21916348813103045,1,4240.10271748414,-5942.301819947558,9,29.572117304931542,0.09904380504906181,0,1.026143790849673
runner_ema100_200,45.0,15,-0.1385355060068647,-0.1736196444619352,4,3470.8676235912926,-2745.3273917018428,9,22.28546816807276,0.17011437658867976,0,0.9703947368421053
runner_ema100_200,40.0,15,-0.18192088417101915,-0.24305416923735185,2,-2537.653108413283,-9035.491887389488,6,34.73549084910128,0.08792936399707356,0,0.963276836158192
runner_no_signal,45.0,15,-1.2932410996364379,-1.1769855856666946,0,-17463.514732988515,-25576.68762653618,0,-0.9262436848490374,0.09445465624703067,0,0.07453416149068323
runner_no_signal,40.0,15,-1.3042417148937002,-1.2888339398951858,0,-17644.482366988515,-24858.950991469505,0,-4.782847362819055,0.029540277611640606,0,0.07
