candidate_id,favorite_id,run_kind,adx,profile,trades,pnl,pf,wr,dd_abs,long_trades,short_trades,long_pnl,short_pnl,long_pf,short_pf,gap,high_mfe_high,high_mfe_low,signal_exit_winners,signal_exit_giveback_failures,sl_low_mfe,sl_bad,branch,setup,trades_initial,trades_delta,pnl_initial,pnl_delta,pf_initial,pf_delta,wr_initial,wr_delta,dd_abs_initial,dd_abs_delta,long_pf_initial,long_pf_delta,short_pf_initial,short_pf_delta,gap_initial,gap_delta,trades_ratio,pf_improved,pnl_improved,gap_ok,trades_preserved,dd_not_much_worse,usable,score
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_rsi90_10_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_rsi90_10,191,31801.32753499996,1.4757199720151488,52.879581151832454,19.85378388174435,107,84,13964.88411099995,17836.44342400001,1.3811496964165269,1.590415309005308,0.20926561258878107,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15,197,-6,4088.0166949111863,27713.310840088772,1.2179238407692008,0.257796131245948,57.868020304568525,-4.9884391527360705,20.34381371580478,-0.490029834060433,1.2139675510904966,0.16718214532603026,1.2222639283045622,0.3681513807007457,0.00829637721406562,0.20096923537471545,0.9695431472081218,True,True,True,True,True,True,49.473539257189266
phase3b_current_base_stability_1h_2p15_2p15_adx40_runner_rsi90_10_fee04,current_base_stability_1h_2p15_2p15,managed,40.0,runner_rsi90_10,194,30438.986416999956,1.4442720146895636,52.0618556701031,22.675915259678614,110,84,12602.542992999946,17836.44342400001,1.329011130591897,1.590415309005308,0.2614041784134109,,,,,,,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15,200,-6,3812.0303071275575,26626.9561098724,1.2024903895381285,0.2417816251514351,57.49999999999999,-5.438144329896893,20.347332172614262,2.3285830870643522,1.1835503683033415,0.14546076228855553,1.2240272260752558,0.3663880829300521,0.04047685777191434,0.22092732064149656,0.97,True,True,True,True,True,True,41.72940603805727
phase3b_high_sample_relaxed_1h_2p0_6p0_adx40_runner_rsi90_10_fee04,high_sample_relaxed_1h_2p0_6p0,managed,40.0,runner_rsi90_10,313,51697.96913142851,1.3374412648914225,40.57507987220447,27.601901278730057,174,139,19065.02031999992,32632.948811428592,1.2257291135778061,1.4746880102148232,0.2489588966370171,,,,,,,high_sample_relaxed,base w9/r10/lb20 + 1h SL2.0/TP6.0,301,12,20234.53384251585,31463.435288912657,1.3045688840798049,0.032872380811617585,32.22591362126246,8.349166250942012,26.920899470236527,0.6810018084935301,1.3521653922209038,-0.1264362786430977,1.2566320115032326,0.21805599871159065,0.09553338071767126,0.15342551591934583,1.0398671096345515,True,True,True,True,True,True,30.32015943470044
phase3b_high_sample_relaxed_1h_1p75_4p38_adx45_runner_rsi85_15_fee04,high_sample_relaxed_1h_1p75_4p38,managed,45.0,runner_rsi85_15,336,39532.43585714287,1.2887976619629713,41.07142857142857,39.84802507637259,189,147,22876.450948799946,16655.984908342925,1.29681478812794,1.2784670665461424,0.018347721581797538,,,,,,,high_sample_relaxed,base w9/r10/lb20 + 1h SL1.75/TP4.38,327,9,15105.97809198852,24426.457765154348,1.3535255946327924,-0.06472793266982113,36.391437308868504,4.6799912625600655,23.56215086856365,16.285874207808945,1.2916867025352272,0.005128085592712717,1.4196292185158061,-0.14116215196966375,0.12794251598057893,-0.10959479439878139,1.0275229357798166,False,True,True,True,False,False,-14.618083917445656
phase3b_high_sample_relaxed_1h_1p75_6p12_adx40_runner_rsi90_10_fee04,high_sample_relaxed_1h_1p75_6p12,managed,40.0,runner_rsi90_10,317,46050.91541725717,1.3182532710636412,36.59305993690852,53.700454305061484,177,140,20184.42039939996,25866.495017857214,1.2581534744680645,1.3889038984290996,0.1307504239610351,,,,,,,high_sample_relaxed,base w9/r10/lb20 + 1h SL1.75/TP6.12,304,13,14508.315557515216,31542.599859741957,1.3039145457075956,0.014338725356045634,28.947368421052634,7.645691515855884,26.31128643484899,27.389167870212493,1.2883441263644213,-0.030190651896356835,1.3205312544546213,0.06837264397447829,0.03218712809019997,0.09856329587083512,1.042763157894737,True,True,True,True,False,False,-23.773129262495168
phase3b_old_relaxed_base_4_10_adx40_runner_rsi90_10_fee04,old_relaxed_base_4_10,managed,40.0,runner_rsi90_10,352,21734.806291428704,1.2677010867451708,32.67045454545455,55.440355613272885,198,154,14271.763200000189,7463.043091428514,1.32225184714383,1.2022342013707537,0.12001764577307639,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP10,357,-5,2285.663873551711,19449.142417876992,1.1215288368116865,0.14617224993348432,34.73389355742297,-2.06343901196842,19.89512993301126,35.54522568026162,1.2484170540694675,0.07383479307436258,0.9814135005188607,0.22082070085189298,0.2670035535506068,-0.1469859077775304,0.9859943977591037,True,True,True,True,False,False,-37.02408394929782
phase3b_old_relaxed_base_4_12_adx45_runner_rsi90_10_plus_ema100_200_fee04,old_relaxed_base_4_12,managed,45.0,runner_rsi90_10_plus_ema100_200,352,12441.4355657145,1.1512736850468612,31.25,48.22505537423205,198,154,10377.80852000029,2063.6270457142105,1.2371609133277501,1.0536201523199116,0.18354076100783856,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12,354,-2,2276.4292553301493,10165.006310384351,1.1175662556503296,0.033707429396531596,31.07344632768362,0.17655367231638053,20.168898943252945,28.056156430979104,1.2298685501959803,0.007292363131769841,0.993079565573613,0.060540586746298586,0.2367889846223673,-0.053248223614528745,0.9943502824858758,True,True,True,True,False,False,-42.5765636119207
phase3b_old_strict_base_6_14_adx40_runner_rsi90_10_fee04,old_strict_base_6_14,managed,40.0,runner_rsi90_10,135,16788.943857143022,1.558449728986174,36.2962962962963,31.258767761846784,78,57,5834.834640000102,10954.10921714292,1.3178569838502217,1.9357135714009812,0.6178565875507596,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-3,2639.3666259281977,14149.577231214824,1.357132147028444,0.20131758195772997,40.57971014492754,-4.283413848631241,11.175043077104775,20.08372468474201,1.223430578011057,0.09442640583916462,1.5853111909017177,0.35040238049926353,0.36188061289066065,0.2559759746600989,0.9782608695652174,True,True,False,True,False,False,-11.005633435698172
phase3b_old_strict_base_5_20_adx45_runner_ema100_200_fee04,old_strict_base_5_20,managed,45.0,runner_ema100_200,137,17728.764000000145,1.619824463634958,29.927007299270077,45.25582724310569,78,59,4756.947120000122,12971.816880000022,1.2730536370003107,2.1601051835575884,0.8870515465572777,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20,139,-2,2601.358244188775,15127.405755811369,1.3428646140792133,0.2769598495557446,29.496402877697843,0.4306044215722338,14.578558941103026,30.677268302002666,1.4453110955153152,-0.1722574585150045,1.195368777660629,0.9647364058969594,0.24994231785468624,0.6371092287025915,0.9856115107913669,True,True,False,True,False,False,-31.273330466671336
phase3b_oneh_perf_sym_1h_2p0_6p0_adx40_runner_rsi90_10_fee04,oneh_perf_sym_1h_2p0_6p0,managed,40.0,runner_rsi90_10,149,34596.60063428571,1.5107456543673465,41.61073825503356,25.475935471668166,100,49,21445.521759999992,13151.078874285713,1.463590552590852,1.6123098377901925,0.14871928519934063,,,,,,,oneh_width_balanced,1h w2.2/r2.75/lb35 + 1h SL2.0/TP6.0,153,-4,28306.67416694932,6289.926467336387,1.7416329363084937,-0.23088728194114716,39.21568627450981,2.3950519805237533,19.87281940555731,5.603116066110857,1.796749080517693,-0.3331585279268412,1.6440094260431104,-0.031699588252917854,0.1527396544745827,-0.004020369275242075,0.9738562091503268,False,True,True,True,True,False,-28.005033859000044
