role,candidate_id,setup_label,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,short_trades,short_pnl,short_profit_factor,pf_symmetry_gap,main_acceptance,bounce_score
base_reference_balanced,phase2d_base_control_base_main_stability_w11_r12_lb20_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb20,base,2.15,11.0,12.0,1.0,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614262,113,1838.5790631162497,1.1835503683033415,87,1973.451244011308,1.2240272260752558,0.04047685777191434,True,57.47001239090606
base_reference_sharp,phase2d_base_control_base_sharp_core_w11_r12_lb10_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb10,base,2.15,11.0,12.0,1.0,10,197,4088.0166949111863,1.2179238407692008,57.868020304568525,-20.34381371580478,110,2099.7414969540755,1.2139675510904966,87,1988.2751979571105,1.2222639283045622,0.00829637721406562,True,62.425949502497836
balanced_1h_main_rail_leader,phase2d_broad_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,1h,2.15,2.25,2.75,0.5,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,110,2535.458705195559,1.2219350143321321,53,2143.383740355581,1.402128607575325,0.18019359324319284,True,55.6029309393686
profit_1h_main_rail_leader,phase2d_broad_1h_semantic_primary_215_w2_r2p75_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.75/lb20,1h,2.15,2.0,2.75,0.75,20,150,5452.498858633169,1.3821196973641816,59.333333333333336,-17.10562261441565,103,2300.5643569349,1.2171853909304418,47,3151.9345016982697,1.8573294249770713,0.6401440340466296,False,55.14920070725575
pf_1h_main_rail_leader,phase2d_broad_1h_semantic_primary_215_w2p25_r3_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r3/lb35,1h,2.15,2.25,3.0,0.75,35,103,3751.2992454759087,1.3918164623770695,59.22330097087378,-16.87248366190398,70,1324.7488584204868,1.182158398290553,33,2426.550387055422,2.0542824668668533,0.8721240685763003,False,51.0157035202076
low_dd_1h_main_rail_accepted,phase2d_broad_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,1h,2.15,2.25,2.75,0.5,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,110,2535.458705195559,1.2219350143321321,53,2143.383740355581,1.402128607575325,0.18019359324319284,True,55.6029309393686
high_sample_1h_main_rail_accepted,phase2d_broad_1h_semantic_primary_215_w2p25_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb50,1h,2.15,2.25,2.75,0.5,50,169,3768.846043471739,1.2060494413166383,57.396449704142015,-18.79479621861735,113,1553.636980145732,1.1287755459427113,56,2215.209063326007,1.3557831681340908,0.2270076221913795,True,42.97256206333409
upper_comparator_leader,phase2d_broad_1h_semantic_upper_235_w2p5_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.5/r2.75/lb35,1h,2.35,2.5,2.75,0.25,35,141,6231.4810817342495,1.444209354566079,60.28368794326241,-21.424348678967597,97,2835.3315076874724,1.2725202509597076,44,3396.149574046777,1.937091260745019,0.6645710097853115,False,63.6548611769237
transition_tail_leader_not_main,phase2d_transition_tail_1h_transition_245_w2p25_r2p75_lb20_sym_1hatr_sl2p45_tp2p45_fee04,1h 2.45 w2.25/r2.75/lb20,1h,2.45,2.25,2.75,0.5,20,149,8439.309620732201,1.5227491926291474,61.07382550335571,-17.710169387405127,103,4647.570457985792,1.3955370526151978,46,3791.7391627464094,1.8629231133120474,0.4673860606968496,False,60.127272727272725
short_heavy_leader,phase2d_transition_tail_1h_transition_245_w2p25_r2p75_lb20_sym_1hatr_sl2p45_tp2p45_fee04,1h 2.45 w2.25/r2.75/lb20,1h,2.45,2.25,2.75,0.5,20,149,8439.309620732201,1.5227491926291474,61.07382550335571,-17.710169387405127,103,4647.570457985792,1.3955370526151978,46,3791.7391627464094,1.8629231133120474,0.4673860606968496,False,60.127272727272725
