candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,phase2e_acceptance,strict_symmetric_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,main_score,run_id,report_path
phase2e_focused_1h_semantic_upper_235_w2p2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.2/r2.65/lb20,focused_1h,1h,2.35,2.2,2.65,0.45,20,171,5076.027957266878,1.2681755980421714,59.64912280701754,-19.030338161798266,0.5806885070754219,115,3413.7252415609278,1.2799504900720007,60.0,56,1662.3027157059498,1.2468533416585483,58.92857142857143,0.03309714841345235,1.2468533416585483,True,True,False,1731.449838992735,69,28,53,6,72.3571414929083,2026-06-16T201755Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T201755Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p25_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.65/lb20,focused_1h,1h,2.35,2.25,2.65,0.4,20,171,5076.027957266878,1.2681755980421714,59.64912280701754,-19.030338161798266,0.5806885070754219,115,3413.7252415609278,1.2799504900720007,60.0,56,1662.3027157059498,1.2468533416585483,58.92857142857143,0.03309714841345235,1.2468533416585483,True,True,False,1731.449838992735,69,28,53,6,72.3571414929083,2026-06-16T202326Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202326Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_control_base_sharp_core_base_w11_r12_lb10_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb10,control_base,base,2.15,11.0,12.0,1.0,10,197,4088.0166949111863,1.2179238407692008,57.868020304568525,-20.34381371580478,0.5013723873014091,110,2099.7414969540755,1.2139675510904966,60.0,87,1988.2751979571105,1.2222639283045622,55.172413793103445,0.00829637721406562,1.2139675510904966,True,True,True,1908.6627918662386,83,45,45,5,70.1201319970283,2026-06-16T192714Z_ema_pullback_BTCUSDT_5m__phase2e_control_base_sharp_core_base_w11_r12_lb10_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T192714Z_ema_pullback_BTCUSDT_5m__phase2e_control_base_sharp_core_base_w11_r12_lb10_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p3_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.3/r2.65/lb20,focused_1h,1h,2.35,2.3,2.65,0.35,20,170,6550.260584268111,1.3643306207553525,60.0,-19.030338161798266,0.7160253143039567,115,3561.1653653145504,1.2875691777574232,60.0,55,2989.095218953561,1.534224072080886,60.0,0.24665489432346277,1.2875691777574232,True,True,False,1761.1217260344401,68,28,53,6,65.04350867888098,2026-06-16T202928Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202928Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_control_base_main_stability_base_w11_r12_lb20_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb20,control_base,base,2.15,11.0,12.0,1.0,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614262,0.4755075288392745,113,1838.5790631162497,1.1835503683033415,59.29203539823009,87,1973.451244011308,1.2240272260752558,55.172413793103445,0.04047685777191434,1.1835503683033415,True,True,True,1912.1041216119995,85,46,45,5,64.95405829467525,2026-06-16T192641Z_ema_pullback_BTCUSDT_5m__phase2e_control_base_main_stability_base_w11_r12_lb20_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T192641Z_ema_pullback_BTCUSDT_5m__phase2e_control_base_main_stability_base_w11_r12_lb20_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.2/r2.75/lb35,focused_1h,1h,2.35,2.2,2.75,0.55,35,162,6331.327125221177,1.3446903336295521,59.25925925925925,-17.27344757692826,0.7000902409460141,110,3544.547132470574,1.2830218270708318,59.09090909090909,52,2786.7799927506035,1.4768434437402045,59.61538461538461,0.1938216166693727,1.2830218270708318,True,True,False,1754.6011980960361,66,25,53,7,64.06497537150697,2026-06-16T202017Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202017Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb35,focused_1h,1h,2.35,2.25,2.75,0.5,35,162,6331.327125221177,1.3446903336295521,59.25925925925925,-17.27344757692826,0.7000902409460141,110,3544.547132470574,1.2830218270708318,59.09090909090909,52,2786.7799927506035,1.4768434437402045,59.61538461538461,0.1938216166693727,1.2830218270708318,True,True,False,1754.6011980960361,66,25,53,7,64.06497537150697,2026-06-16T202532Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202532Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.3/r2.75/lb35,focused_1h,1h,2.35,2.3,2.75,0.45,35,162,6331.327125221177,1.3446903336295521,59.25925925925925,-17.27344757692826,0.7000902409460141,110,3544.547132470574,1.2830218270708318,59.09090909090909,52,2786.7799927506035,1.4768434437402045,59.61538461538461,0.1938216166693727,1.2830218270708318,True,True,False,1754.6011980960361,66,25,53,7,64.06497537150697,2026-06-16T203228Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T203228Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_control_phase2d_1h_candidate_1h_w2p25_r2p75_lb35_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,control_1h,1h,2.15,2.25,2.75,0.5,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,0.5955366893061772,110,2535.458705195559,1.2219350143321321,58.18181818181818,53,2143.383740355581,1.402128607575325,58.490566037735846,0.18019359324319284,1.2219350143321321,True,True,True,1699.639301770836,68,29,44,6,63.68807813143585,2026-06-16T192823Z_ema_pullback_BTCUSDT_5m__phase2e_control_phase2d_1h_candidate_1h_w2p25_r2p75_lb35_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T192823Z_ema_pullback_BTCUSDT_5m__phase2e_control_phase2d_1h_candidate_1h_w2p25_r2p75_lb35_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.2/r2.75/lb35,focused_1h,1h,2.15,2.2,2.75,0.55,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,0.5955366893061772,110,2535.458705195559,1.2219350143321321,58.18181818181818,53,2143.383740355581,1.402128607575325,58.490566037735846,0.18019359324319284,1.2219350143321321,True,True,True,1699.639301770836,68,29,44,6,63.68807813143585,2026-06-16T194652Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T194652Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
