rail,current_width,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
2.15,1.9,9,1.159432833340935,1.1522674369690473,1.3821196973641816,2496.4049013991307,2336.913607273451,5452.498858633169,56.4643183929704,56.02836879432624,165.55555555555554,167.0,4,7,1,1,0.34299671288715367,-23.838467988997802
2.15,2.0,9,1.1561412817644137,1.1522674369690473,1.3821196973641816,2414.611031880525,2336.913607273451,5452.498858633169,56.4159870946391,56.02836879432624,165.33333333333334,167.0,4,7,1,1,0.33170294521367993,-23.838467988997866
2.15,2.1,9,1.162468379570886,1.1522674369690473,1.3821196973641816,2548.481786226692,2336.913607273451,5452.498858633169,56.544816908753084,56.25,164.88888888888889,167.0,4,7,1,1,0.32157252196205366,-23.376608356730056
2.15,2.2,9,1.1902188125906865,1.185389535449415,1.3821196973641816,2937.3444083081527,2848.4226040558383,5452.498858633169,57.053230984244706,57.05882352941176,160.77777777777777,163.0,6,7,2,2,0.35249344963992474,-21.53387123633592
2.15,2.25,9,1.196040665094011,1.1929797197341392,1.3821196973641816,3044.699050888356,2848.4226040558383,5452.498858633169,57.18840079697119,57.396449704142015,160.33333333333334,163.0,6,7,2,1,0.3599339697536588,-21.081864398723216
2.15,2.3,9,1.20795101529292,1.1929797197341392,1.3821196973641816,3232.664806202007,3332.2548735986484,5452.498858633169,57.186394486474995,57.14285714285714,159.55555555555554,163.0,7,8,3,2,0.37520378187914644,-19.658243248183844
2.35,1.9,9,1.2061894317237216,1.201374058580385,1.4347975311390617,3670.7837013612193,3306.2793863544985,6816.125646186411,57.22940091988495,56.49717514124294,164.55555555555554,166.0,5,8,2,0,0.3331822220938746,-21.895290974429756
2.35,2.0,9,1.2028099931741052,1.201374058580385,1.4347975311390617,3567.6666453703074,3306.2793863544985,6816.125646186411,57.182658386491006,56.49717514124294,164.33333333333334,166.0,5,8,2,0,0.322867108610756,-21.895290974429646
2.35,2.1,9,1.2097538340868361,1.201374058580385,1.4347975311390617,3731.5889801735993,3306.2793863544985,6816.125646186411,57.31514733229963,56.994818652849744,163.88888888888889,166.0,6,8,3,0,0.3115893017649566,-21.368563509894816
2.35,2.2,9,1.2416998709536582,1.2366132932436527,1.4347975311390617,4195.2937309277795,4169.13594793574,6816.125646186411,57.85213787635124,57.52688172043011,159.77777777777777,162.0,7,8,3,0,0.34891357026524217,-20.33710592721118
2.35,2.25,9,1.2485631616281456,1.260056610307592,1.4347975311390617,4328.677622657401,4169.13594793574,6816.125646186411,57.99195494840295,58.1151832460733,159.33333333333334,162.0,7,8,3,0,0.3575706002332815,-19.804954852452223
2.35,2.3,9,1.2641264998732071,1.2356436723699793,1.4347975311390617,4573.724137244779,4169.13594793574,6816.125646186411,57.997574479856524,57.97872340425532,158.55555555555554,162.0,7,8,3,0,0.3555102376236444,-18.959333490739454
